Protein IDs,Protein names,Gene names,Control-LFQ intensity P18,Control-LFQ intensity P19,Control-LFQ intensity P20,Di-LFQ intensity P18,Di-LFQ intensity P19,Di-LFQ intensity P20,mean_ctrl,mean_treat,log2FC (treat:ctrl)
P61313;A0A024R2Q4;B4DLP4;A0A2R8YEM3;E7EQV9;E7ENU7;E7ERA2;B4DEN1;E7EX53;A0A2R8Y738;P61313-2;Q76N55,60S ribosomal protein L15;Ribosomal protein L15,RPL15,15845,12001,14308,39056,45493,40035,14051.33333,41528,1.563377358
P36578;B4DMJ6;Q53G74;Q59GY2;B4DP82;H3BTP7;H3BU31;B4DFI6;B4DMJ2;H3BM89,60S ribosomal protein L4,RPL4,23028,19606,18705,17689,20024,17869,20446.33333,18527.33333,-0.142186899
O60825;Q68DE0;B0FLL2;O60825-2;B4DY91,"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 2;6-phosphofructo-2-kinase;Fructose-2,6-bisphosphatase",PFKFB2;DKFZp781D2217,19483,21394,14399,1000,1000,1000,18425.33333,1000,-4.203618814
Q7L2J0;A8K5Q1;Q7L2J0-2,7SK snRNA methylphosphate capping enzyme,MEPCE,9485.5,10384,8796.8,1000,1000,1000,9555.433333,1000,-3.2563213
O60733;B3KU52;A8K460;O60733-2;H7C3P5;O60733-3,85/88 kDa calcium-independent phospholipase A2,PLA2G6,1000,1000,1000,30283,23430,24854,1000,26189,4.710889068
Q8TE57;Q8TE57-2,A disintegrin and metalloproteinase with thrombospondin motifs 16,ADAMTS16,49304,34940,40182,1000,1000,1000,41475.33333,1000,-5.374181671
Q8IZT6;B3KWI2;Q8IZT6-2;B3KM85;Q4G1H2;Q5VYL4;Q4G1H0,Abnormal spindle-like microcephaly-associated protein,ASPM,5299.2,4939.7,7765.8,1200,2019.4,2383.4,6001.566667,1867.6,-1.684153662
B4E3W4;Q07001-2;Q07001,Acetylcholine receptor subunit delta,CHRND,1000,1000,1000,53029,53951,60680,1000,55886.66667,5.804432224
Q9Y215;A8K0X3;A0A0C4DGS2;Q9Y215-7;Q9Y215-6;Q9Y215-8;Q9Y215-2;S4R408;Q9Y215-3;Q9Y215-4;A0A024R2P2,Acetylcholinesterase collagenic tail peptide,COLQ,23922,19475,28695,1000,1000,1000,24030.66667,1000,-4.586804768
O00763;B4DYM0;Q59GJ9;A2NX49;O00763-3;O00763-2;B4DYJ7;Q4G170;F8W8T8;H0YGH5,Acetyl-CoA carboxylase 2;Biotin carboxylase,ACACB,5768.5,9555.1,4392.6,15940,17786,19605,6572.066667,17777,1.435592859
Q562N3;Q562L2,Actin-like protein (Fragment) ,ACT,1000,1000,1000,4310.9,3234.3,9108.9,1000,5551.366667,2.472842986
C9J1X3,Activated CDC42 kinase 1 ,TNK2,142126,128500,125805,1000,1000,1000,132143.6667,1000,-7.045963471
Q8N3C0,Activating signal cointegrator 1 complex subunit 3,ASCC3,1000,1000,1000,10394,7859.6,11202,1000,9818.533333,3.295507535
Q9ULW3;A0A024R029,Activator of basal transcription 1,ABT1,1000,1000,1000,29364,21894,32493,1000,27917,4.803072011
Q9H6R3;A0A0B4J1R2;F8VZB4,"Acyl-CoA synthetase short-chain family member 3, mitochondrial",ACSS3,16785,12849,18796,15774,12960,12485,16143.33333,13739.66667,-0.232591498
O14734;A0A494C0N6;Q6FHI2;E9PRD4;B4DQG0;H7C5A7,Acyl-coenzyme A thioesterase 8,ACOT8;PTE1,45784,39506,32475,1000,1000,1000,39255,1000,-5.29480452
B1B0D4;B3KXC5;B4DE73;A0A024R8C9;Q86TH1,ADAMTS-like protein 2,ADAMTSL2,1000,1000,1000,20741,19782,14387,1000,18303.33333,4.194034505
P25054;A0A224ANK2;Q4LE70;A0A224AV41;P25054-2;P25054-3;A0A384ME03;A5JUM6;B2ZRE1;A5HB94;A0A1Y6IRU6;A0A1Y6IQK5;A0A1Y6IM95;A0A1Y6IM94,Adenomatous polyposis coli protein,APC;APC variant protein,18695,15574,20013,49305,40014,38695,18094,42671.33333,1.237755814
O95996;O95996-2;O95996-3,Adenomatous polyposis coli protein 2,APC2,1000,1000,1000,18956,20028,16758,1000,18580.66667,4.215730361
Q8IUX7;H7C0W8;B3KR36;B4DJB3;Q8IUX7-2,Adipocyte enhancer-binding protein 1,AEBP1,39405,40273,45229,1000,1000,1000,41635.66667,1000,-5.379748019
P55196;P55196-3;P55196-2;Q5TIG5;G1UI22;A8MQ02;A0A1P7ZIN0;J3KN01;P55196-6;P55196-1;P55196-5;H0Y9I0;H0Y8L4,Afadin,MLLT4,29405,23104,19807,17689,21135,18795,24105.33333,19206.33333,-0.327770258
Q9Y4W6;D3DUJ0;Q8TA92,AFG3-like protein 2,AFG3L2,1000,1000,1000,30823,23805,32210,1000,28946,4.855292093
O00468;O00468-6;A0A087X208;A0A494C0G5;A0A494C1I6;O00468-2;O00468-3;O00468-5;O00468-4;O00468-7,Agrin;Agrin N-terminal 110 kDa subunit;Agrin C-terminal 110 kDa subunit;Agrin C-terminal 90 kDa fragment;Agrin C-terminal 22 kDa fragment,AGRN,10375,8795.4,8879.2,12384,6785.8,10035,9349.866667,9734.933333,0.058225307
Q12802;Q12802-2;Q12802-4;A0A087WTD7;A8MYJ1;A0A2X0SF55;B7ZW05;A0A087WY36;H0YLH1;B0AZU4;H0YMW2,A-kinase anchor protein 13,AKAP13,18596,22203,19705,1000,1000,1000,20168,1000,-4.333996118
Q5JQC9;A8K8U8;A0A384MQY7;Q5JQC9-2,A-kinase anchor protein 4,AKAP4,20016,17485,13200,1000,1000,1000,16900.33333,1000,-4.078979797
F5GXD1;Q9P0M2;F5H4P9,A-kinase anchor protein 7 isoform gamma,AKAP7,39044,42210,34135,1000,1000,1000,38463,1000,-5.265399388
Q99996;A0A0A0MRF6;Q99996-5;Q99996-3;Q99996-1;Q99996-6,A-kinase anchor protein 9,AKAP9,19706,25496,20013,1000,1000,1000,21738.33333,1000,-4.442169429
D3DVN7;P35475;D6REB5;Q56A80;A8K701;P35475-2;J9QQV7;H0Y9R9;D6R9D5;D3DVN8,Alpha-L-iduronidase,IDUA,103744,78957,98004,1000,1000,1000,93568.33333,1000,-6.547948451
Q96QP1;Q96QP1-2,Alpha-protein kinase 1,ALPK1,1000,1000,1000,9489.6,10274,8795.2,1000,9519.6,3.250900955
Q96L96,Alpha-protein kinase 3,ALPK3,1000,1000,1000,4574.2,8695.1,5654.3,1000,6307.866667,2.657152165
L8E9I9,Alternative protein ACRC ,ACRC,10384,16594,12954,1000,1000,1000,13310.66667,1000,-3.734510926
L8EC86,Alternative protein CASQ2 ,CASQ2,20038,18449,13790,1000,1000,1000,17425.66667,1000,-4.123141946
L0R835,Alternative protein CCDC152 ,CCDC152,40037,45458,58412,1000,1000,1000,47969,1000,-5.584030459
L8E885,Alternative protein FAM169A ,FAM169A,72588,91947,82482,1000,1000,1000,82339,1000,-6.363504022
L8E8R5,Alternative protein FGFR2 ,FGFR2,30022,23920,21093,1000,1000,1000,25011.66667,1000,-4.64452929
L8E8L5,Alternative protein HACE1 ,HACE1,1000,1000,1000,6578.3,9870.2,7987.1,1000,8145.2,3.025950124
L0R5B9,Alternative protein METAP2 ,METAP2,30274,26515,26730,1000,1000,1000,27839.66667,1000,-4.799070032
L8EAF1,Alternative protein NCL ,NCL,695043,600223,569500,204856,199807,254840,621588.6667,219834.3333,-1.499543478
Q14991,Alternative protein NGFRAP1 ,NGFRAP1,115570,98493,129403,1000,1000,1000,114488.6667,1000,-6.839060982
L8E7B7,Alternative protein PHF14 ,PHF14,1000,1000,1000,54032,61104,61304,1000,58813.33333,5.878071355
L8E7R9,Alternative protein PSG7 ,PSG7,19584,20183,15703,1000,1000,1000,18490,1000,-4.20867332
L8E952,Alternative protein RAB3C ,RAB3C,103743,132904,99765,1000,1000,1000,112137.3333,1000,-6.809122857
L8ECH6,Alternative protein RBM28 ,RBM28,35929,30283,40302,1000,1000,1000,35504.66667,1000,-5.149936757
L8E9I8,Alternative protein SPIN2B ,SPIN2B,20183,17789,22385,1000,1000,1000,20119,1000,-4.330486694
L8E7T7,Alternative protein SUPT5H ,SUPT5H,202746,151130,137754,1000,1000,1000,163876.6667,1000,-7.356466643
L8E7F9,Alternative protein SUPT6H ,SUPT6H,1000,1000,1000,131855,119730,136221,1000,129268.6667,7.014228814
L8EA41,Alternative protein TMCO1,TMCO1,10037,8698,6867.1,1000,1000,1000,8534.033333,1000,-3.093227746
L8EAQ6,Alternative protein TRANK1 ,TRANK1,18800,22190,28412,1000,1000,1000,23134,1000,-4.531942833
L8E9R9,Alternative protein TRAPPC6B ,TRAPPC6B,1000,1000,1000,83817,68713,66639,1000,73056.33333,6.190937442
L8E737,Alternative protein U2SURP ,U2SURP,23028,21663,26570,1000,1000,1000,23753.66667,1000,-4.570078323
L0R6T5,Alternative protein UBR4 ,UBR4,2903.3,1100,2045.4,8495.5,11038,10289,2016.233333,9940.833333,2.301704189
L0R8L2,Alternative protein YTHDC1 ,YTHDC1,1000,1000,1000,43048,32940,30037,1000,35341.66667,5.143298172
L8E947,Alternative protein ZNF418 ,ZNF418,1000,1000,1000,9591.3,6493.2,4730.9,1000,6938.466667,2.794616877
Q6DCA0;A0A024RAG1;Q9Y4X0;B3KMF2;B2RBC1;A0A0S2Z4X0;Q9Y4X0-4,AMMECR1-like protein,AMMECR1L;MGC4268,34893,25490,27869,1000,1000,1000,29417.33333,1000,-4.878594568
Q01432-5;Q01432-6;B7Z282;Q01432-4;Q01432;Q01433;B7Z5L7;B2RB47;H0Y360;A0A024R098;H0YF16;Q01433-3;E9PKC5;Q01433-4;Q01432-3;Q01433-2;Q01433-5,AMP deaminase 3;AMP deaminase 2,AMPD3;AMPD2,1000,1000,1000,11930,9475.2,15489,1000,12298.06667,3.620359628
Q02763-3;Q02763;B5A954;Q8IXB8;Q59HG2;Q02763-2;B5A953;E5RIV9,Angiopoietin-1 receptor,TEK;Tie-2,19584,16956,13445,1000,1000,1000,16661.66667,1000,-4.058460816
Q9P0K7-3;Q9P0K7;Q9P0K7-4;B4DNL3;Q9P0K7-2,Ankycorbin,RAI14,11029,7545.2,9912.1,38258,30027,34550,9495.433333,34278.33333,1.851991219
Q6UB99;Q6PEL2,Ankyrin repeat domain-containing protein 11,ANKRD11,1000,1000,1000,18404,23839,17595,1000,19946,4.31802755
Q5VUR7;Q5TYW2;Q5SQ80;Q5CZ79;Q4UJ75;B2RTT7;A0A384NKR9;Q5CZ79-2;A0A494C151,Ankyrin repeat domain-containing protein 20A3;Ankyrin repeat domain-containing protein 20A1;Ankyrin repeat domain-containing protein 20A2;Ankyrin repeat domain-containing protein 20B;Ankyrin repeat domain-containing protein 20A4,ANKRD20A3;ANKRD20A1;ANKRD20A2;ANKRD20A8P;ANKRD20A4,1000,1000,1000,20293,16859,13284,1000,16812,4.071419456
Q9UPS8;A1L497;E7ESJ3,Ankyrin repeat domain-containing protein 26,ANKRD26,18495,15586,19068,16048,15893,19056,17716.33333,16999,-0.059630167
Q8N2N9;Q8N2N9-3;Q8N2N9-2;A0A087X1R3;A6QL64;A2VCN4;A0A087WX87;A0A1W2PS33;A1A5B0;A0A087X037;A0A494C0M0;A6QL64-4;A6QL64-5;Q8N2N9-4,Ankyrin repeat domain-containing protein 36B,ANKRD36B,49574,40373,44388,19047,18906,21385,44778.33333,19779.33333,-1.178807031
Q12955;A0A024RDI4;B7Z636;A0A087WTF3;D6RHE1;A0A0U1RQN6;B7Z651;E9PHW9;Q12955-4;Q12955-5;Q01484-2;Q01484-5;A0A087WTE8;A0A087WVC2;B1AQT1;A0A087WTP5;Q8NAK2;B7Z2H4;Q6ZT73;Q59G01;H0Y931;E9PCH6;H0Y9E9;A0A087WZ26;D6RHY3;A0A087X0B4;D6RFK6;Q7Z344;P16157-7;P16157-11;P16157-21;Q12955-7;P16157-4;P16157-13;P16157-10;P16157-15;A8KA62;P16157-5;P16157;P16157-16;P16157-6;P16157-9;P16157-2;P16157-3;Q12955-6;P16157-14;P16157-8;P16157-12,Ankyrin-3,ANK3,2039.3,1177.2,2249.4,9685.4,12934,11510,1821.966667,11376.46667,2.642484081
E9PQ79;B7Z9B9;Q9BYT9;E9PKW2;B7Z2V3;B7Z9Q3;B7Z7Y6;Q9BYT9-2,Anoctamin;Anoctamin-3,ANO3,12033,10395,15495,32048,28696,37688,12641,32810.66667,1.376054311
P46013;P46013-2;B4DRH3;Q70L73,Antigen KI-67,MKI67,20394,17967,22103,16009,15485,18879,20154.66667,16791,-0.263425769
B3KMI7;B7Z1Q4;A0A0G2JS82;B7Z5S9;O94973;O94973-2,AP-2 complex subunit alpha-2,AP2A2,124360,134979,151459,1000,1000,1000,136932.6667,1000,-7.097322847
P04114;E1A689;C0JYY2;Q59HB3;E1B4S9;A8K479,Apolipoprotein B-100;Apolipoprotein B-48,APOB,7607.4,10013,8695.2,8907.3,11074,12058,8771.866667,10679.76667,0.283924339
Q9BPW4;Q6ICI8;B2R6U4;A8K351;Q9BPW4-3;Q9BPW4-2;E9PS31;F5H1P9,Apolipoprotein L4,APOL4,24930,29545,30013,1000,1000,1000,28162.66667,1000,-4.815712041
Q96KQ4;A0A3B3ISJ2;G3V5J1;Q6ZU84,Apoptosis-stimulating of p53 protein 1,PPP1R13B,1000,1000,1000,18495,12900,17602,1000,16332.33333,4.029659012
Q13625;B4DI25;B7Z9Y8;B4DH76;Q05BL1;Q13625-2;Q13625-3,Apoptosis-stimulating of p53 protein 2,TP53BP2,23902,26900,19584,10029,8594.4,11038,23462,9887.133333,-1.246701807
Q15027,"Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 1",ACAP1,19178,16785,23920,1000,1000,1000,19961,1000,-4.319112093
Q8WWN8;G5E9Y3;A8K1Y7;Q05CH1;Q05CA7;Q8WWN8-2;Q9H7C1;Q96G49;B3KMD0,"Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 3",ARAP3,20183,17884,19403,21110,17695,16587,19156.66667,18464,-0.053131419
Q9ULH1;H0YBF7;A0A0A0MRE5;Q9ULH1-2;H0YBM4,"Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 1",ASAP1,30028,26585,23202,1000,1000,1000,26605,1000,-4.733625498
Q9BUV0;H3BTJ0;A0A024RAI0;A0A024RAH6;Q9BUV0-3;Q9BUV0-2;H3BP33;H3BMX3,Arginine/serine-rich protein 1,RSRP1;C1orf63,60585,56004,54305,1000,1000,1000,56964.66667,1000,-5.831995435
F8W8Y7;Q5H9R4;A0A024RCH4;Q5H9R4-2,Armadillo repeat-containing X-linked protein 4,ARMCX4,11903,14384,9857.2,1000,1000,1000,12048.06667,1000,-3.590729753
F8T0U4,Aryl hydrocarbon receptor nuclear translocator (Fragment) ,ARNT,180960,176242,156855,1000,1000,1000,171352.3333,1000,-7.420822027
Q9NZN9-5;Q9NZN9;Q6ZZB5;F1T0C0;Q7Z3H1;F1T0B6;B2RB96;Q9NZN9-3;Q9NZN9-2;Q9NZN9-4,Aryl-hydrocarbon-interacting protein-like 1,AIPL1;DKFZp686O2183,30296,24377,28045,60596,62219,54058,27572.66667,58957.66667,1.096440626
Q99700;Q99700-4;A0A2R8Y7P6;F8VQP2;Q2M2R5;V9GY86;Q99700-2;Q99700-5;H0YH87;A0A2R8YDM9;F8WB06;A0A2R8Y7E6;A0A2R8Y5A6;F8VVY6;F8VRK6;B3KT59,Ataxin-2,ATXN2,25578,29400,21386,30173,24930,21947,25454.66667,25683.33333,0.012902283
H9P6L0,ATP synthase subunit a,ATP6,1000,1000,1000,29797,27110,20845,1000,25917.33333,4.69584538
A0A3G9IAW8;A0A3G9IPY2;A0A3G9IY71;A0A3G9IWZ4;A0A3G9IWP6;A0A3G9IU23;A0A3G9II42;A0A3G9IAD7;A0A3G9IAD1;A0A3G9I8L5;A0A3G9IUV3,ATP synthase subunit a (Fragment) ,mtATP6,32726,39404,42656,1000,1000,1000,38262,1000,-5.257840382
Q9ULI0;Q9ULI0-2;C9JG15,ATPase family AAA domain-containing protein 2B,ATAD2B,14930,12999,18660,1000,1000,1000,15529.66667,1000,-3.956954959
Q96QE3;H0UIC2;A0A075B754;Q96QE3-2,ATPase family AAA domain-containing protein 5,ATAD5,15894,13009,18654,1000,1000,1000,15852.33333,1000,-3.986623304
Q8IUA7;H0Y4U7;Q8IUA7-4;Q8IUA7-3;Q6AI35;Q8IUA7-2;Q8IUA7-5,ATP-binding cassette sub-family A member 9,ABCA9;DKFZp686F2450,9585.5,11048,12484,8575.3,11084,9284.2,11039.16667,9647.833333,-0.194354379
Q7Z3R9;Q6MZK4;B3KNQ7;P17858;P17858-2;H0Y3Y3;Q59GI2;Q9BSP4;Q7L2M7,"ATP-dependent 6-phosphofructokinase, liver type",DKFZp686G1648;DKFZp686L2097;PFKL;PFKP,29940,33748,23848,1000,1000,1000,29178.66667,1000,-4.866842055
Q08211;Q58F26;Q6PJK6;B3KU66;Q08211-2,ATP-dependent RNA helicase A,DHX9,1000,1000,1000,9485.4,10202,8669.7,1000,9452.366667,3.240675594
Q14654;V5QFN8;V5QEK6;V5QDK6;D2K1F9;B2RC52;A0A220SZY8;C5IU90;H0YES9;Q14654-2,ATP-sensitive inward rectifier potassium channel 11,KCNJ11;KIR1,60533,53223,49950,1000,1000,1000,54568.66667,1000,-5.770000888
P29374;A0A024R680;A0A024R6A2;A0A024R657;P29374-3;P29374-2;H7C485;Q05CG0;C9JIF4;C9J1W3,AT-rich interactive domain-containing protein 4A,ARID4A,6405.8,9544.1,7434.2,1000,1000,1000,7794.7,1000,-2.962493498
Q9P281;F8WBW8,BAH and coiled-coil domain-containing protein 1,BAHCC1,19405,22228,21038,1000,1000,1000,20890.33333,1000,-4.384763608
P98160;Q59EG0;A0A024RAB6;Q2VPA1;A0A0U1RQT3,Basement membrane-specific heparan sulfate proteoglycan core protein;Endorepellin;LG3 peptide,HSPG2,13849,10294,15495,12028,13548,10384,13212.66667,11986.66667,-0.14049115
A0A494C0D0;A0A494C0F9;Q86UB2;A0A494C1A7;A0A1W2PS85;Q59FZ7;R4GMW8;Q86UB2-2,Basic immunoglobulin-like variable motif-containing protein ,BIVM,30293,38600,34204,28695,32940,30024,34365.66667,30553,-0.169653902
E7EXA8;E9PAL0;P10163;Q04118;Q4VAY2;A2VCL9;A0A0G2JPD0;A0A0G2JNB4;F5H7C1,Basic salivary proline-rich protein 4;Protein N1;Glycosylated protein A;Peptide P-D;Basic salivary proline-rich protein 3,PRB4;PRB3,1000,1000,1000,103845,89068,112956,1000,101956.3333,6.671807585
B3KXX8;Q8NDZ0-2;Q8NDZ0,BEN domain-containing protein 2,BEND2,1000,1000,1000,22414,20529,21231,1000,21391.33333,4.418954504
Q9BYV7;B0YIX7;B2RCV8;B0YIX6;Q9BYV7-6;Q9BYV7-5;Q9BYV7-2;H0YCN8;Q8NAZ7;Q9BYV7-4;V9GYA9,"Beta,beta-carotene 9,10-oxygenase",BCO2;BCDO2,96575,77690,79406,32048,28404,30183,84557,30211.66667,-1.484818418
E7EX92,Beta/gamma crystallin domain-containing protein 2 ,AIM1L,76869,60059,72193,1000,1000,1000,69707,1000,-6.123231634
Q96L58;Q499Z2,"Beta-1,3-galactosyltransferase 6",B3GALT6,3371800,2806786,3548552,992830,789661,900116,3242379.333,894202.3333,-1.858379669
Q8WZ95;G3XA83;Q6NT00;B2RBX9;Q9UBX8-2;Q9UBX8,"Beta-1,4-galactosyltransferase 6;Glucosylceramide beta-1,4-galactosyltransferase",B4GALT6,29330,23284,30584,1000,1000,1000,27732.66667,1000,-4.793514442
B8X6N1;B8X6N0;A8KAG8;P13945;A0A3B3IT50,Beta-3 adrenergic receptor,ADRB3,29304,21390,23339,24039,19930,22184,24677.66667,22051,-0.162361908
P25098;A0A0S2Z3I6;A0A0S2Z392;P35626;Q59F73;A8K869;A0A024R1D8;E9PRV7,Beta-adrenergic receptor kinase 1;Beta-adrenergic receptor kinase 2,ADRBK1;ADRBK2,11920,8695.4,12485,59405,66322,61204,11033.46667,62310.33333,2.497585284
F5H552,Beta-citrylglutamate synthase B (Fragment) ,RIMKLB,89404,75674,77669,39048,28985,30033,80915.66667,32688.66667,-1.307628528
Q9Y5Z0-3;Q9Y5Z0;B3KNE8;Q9Y5Z0-5;Q9Y5Z0-4,Beta-secretase 2,BACE2,1000,1000,1000,23930,31102,28493,1000,27841.66667,4.799173672
O95803;O95803-2;O95803-3,Bifunctional heparan sulfate N-deacetylase/N-sulfotransferase 3;Heparan sulfate N-deacetylase 3;Heparan sulfate N-sulfotransferase 3,NDST3,320045,360540,400564,820520,730450,745780,360383,765583.3333,1.087028465
Q8NFC6;F8WDD0;H0Y9Y2,Biorientation of chromosomes in cell division protein 1-like 1,BOD1L1,8594.4,10384,7489.3,11930,9404.3,10032,8822.566667,10455.43333,0.244982525
P54132;A0A3B3IT82;B2RAN0;B7ZKN7;B7Z2X2;H0YNU5;H0YLV8;B7Z8C1;Q3B7X0,Bloom syndrome protein,BLM,1000,1000,1000,23904,20183,28900,1000,24329,4.604605117
Q9NSY1;H0Y9P1,BMP-2-inducible protein kinase,BMP2K,29102,22403,23294,1000,1000,1000,24933,1000,-4.639984577
P13497;A5PLK9,Bone morphogenetic protein 1;Metalloendopeptidase,BMP1,29484,20193,23284,23002,28950,21039,24320.33333,24330.33333,0.000593083
Q99728;Q53F80;B2RAM8;A0AVN2;Q99728-3;Q99728-2;F6MDI2;A0A087WZ19;F6MDI1;F6MDI0;C9IYG1;A0A494C142;B4DX74;A0A087X2H0,BRCA1-associated RING domain protein 1,BARD1,36605,32054,39005,34055,40023,37601,35888,37226.33333,0.052821997
Q5XLT4;Q7Z606;P38398;A0A386IN60;A0A024R1Y0;A0A386INP3;A0A386IPK6;G8I0D8;A0A386IN41;A0A386INQ5;Q3LRH8;A0A024R1W0;A0A386IN52;A0A386IQ66;A0A386IPW2;A0A024R1V8;A0A386INJ5;Q5YLB2;A0A386IPL0;A0A3G1CIM0;P38398-8;P38398-4;A0A024R1Y1;P38398-7;K4JTS0;A0A068BI44;A0A2R8Y7V5;H0Y850;A0A0K0PUK0,Breast cancer type 1 susceptibility protein,BRCA1,50860,52210,45960,1000,1000,1000,49676.66667,1000,-5.634496466
Q9Y6D6;A0A024R7X0;Q9Y6D5;E5RJN9;B3KMS9;Q86TH5;Q59FY5;E5RIF2,Brefeldin A-inhibited guanine nucleotide-exchange protein 1,ARFGEF1,6054.6,8705.1,9550.2,49504,41200,35940,8103.3,42214.66667,2.381162864
Q9NRL2;D3DS96;Q9NRL2-2;A0A087WWN7;Q59G54;Q05CW0;Q32ND1,Bromodomain adjacent to zinc finger domain protein 1A,BAZ1A,29406,23348,28705,1000,1000,1000,27153,1000,-4.763039698
H7BXK5,Bromodomain adjacent to zinc finger domain protein 2B (Fragment) ,BAZ2B,1000,1000,1000,40393,32484,41124,1000,38000.33333,5.247940169
Q9ULD4;A0A024RCX0;E9PI60;Q9ULD4-3;Q9ULD4-2;Q8TE92;E9PSF3;E9PJ12;Q9NWM1;H0Y7I6;H0Y7B4;Q8N4T7;F6XDC4,Bromodomain and PHD finger-containing protein 3,BRPF3,15490,10385,12213,9685.7,14436,12093,12696,12071.56667,-0.07276111
Q9NSI6-3;Q9NSI6-2;Q9NSI6;H7BZR9;Q5R2U7;H7C409,Bromodomain and WD repeat-containing protein 1,BRWD1,1000,1000,1000,30485,24540,24384,1000,26469.66667,4.726268122
O95696-2;Q86X06;A0A024R4V5;B7Z926;B4E3L9;O95696;J3KQ61;B4DZC2;B4DZ41;A0A024R4W4;Q59G93,Bromodomain-containing protein 1,BRD1,25695,19950,25641,18068,23284,20049,23762,20467,-0.215356619
Q68DU8;A8K8W2,BTB/POZ domain-containing protein KCTD16,KCTD16,86960,100284,79607,1000,1000,1000,88950.33333,1000,-6.474928107
Q9BRD0;A8K4Z6;Q9BRD0-2,BUD13 homolog,BUD13,67905,57054,60012,1000,1000,1000,61657,1000,-5.94619279
Q13895;H7BY94,Bystin,BYSL,50586,61028,56484,1000,1000,1000,56032.66667,1000,-5.808196249
